[ 2026-05-17 23:26:07,552 ] 19 root - INFO - Initiate Data Ingestion
[ 2026-05-17 23:26:12,313 ] 63 root - INFO - Train Test Split Completed on the Dataframe
[ 2026-05-17 23:26:12,315 ] 72 root - INFO - Exporting Train and Test File Path
[ 2026-05-17 23:26:12,389 ] 82 root - INFO - Exported train and test file path
[ 2026-05-17 23:26:12,390 ] 21 root - INFO - Data Ingestion completed
[ 2026-05-17 23:26:12,401 ] 28 root - INFO - Initiate Data Validation
[ 2026-05-17 23:26:12,527 ] 36 root - INFO - Required no of cols= 2
[ 2026-05-17 23:26:12,527 ] 37 root - INFO - Dataframe has: 31
[ 2026-05-17 23:26:12,528 ] 89 root - INFO - Train df doesnt contain all columns
[ 2026-05-17 23:26:12,730 ] 30 root - INFO - Data Validation Completed
[ 2026-05-17 23:26:12,731 ] 37 root - INFO - Intitate Data Transformation
[ 2026-05-17 23:26:12,731 ] 55 root - INFO - Entered initiate data transformation of DataTransformation class
[ 2026-05-17 23:26:12,731 ] 57 root - INFO - Starting data_transformation
[ 2026-05-17 23:26:12,778 ] 39 root - INFO - Entered get_data_transformation_object in DataTransformation class
[ 2026-05-17 23:26:12,779 ] 43 root - INFO - Initialised KNN Imputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-17 23:26:12,806 ] 43 root - INFO - Entered save object of Main Utils class
[ 2026-05-17 23:26:12,811 ] 47 root - INFO - Exited the save_object method of main utils class
[ 2026-05-17 23:26:12,812 ] 39 root - INFO - Data Transformation Completed
[ 2026-05-17 23:26:12,812 ] 46 root - INFO - Initiate Model Training
[ 2026-05-17 23:30:51,676 ] 43 root - INFO - Entered save object of Main Utils class
[ 2026-05-17 23:30:51,768 ] 47 root - INFO - Exited the save_object method of main utils class
[ 2026-05-17 23:30:51,768 ] 95 root - INFO - Created model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_17_2026_23_26_04\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913008294557961, precision_score=0.9887005649717514, recall_score=0.9939148073022313), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9741309620048505, precision_score=0.9663191659983962, recall_score=0.9820700896495518))
[ 2026-05-17 23:30:51,771 ] 48 root - INFO - Model Training Completed
