[ 2026-05-17 22:59:23,049 ] 19 root - INFO - Initiate Data Ingestion
[ 2026-05-17 22:59:27,071 ] 63 root - INFO - Train Test Split Completed on the Dataframe
[ 2026-05-17 22:59:27,073 ] 72 root - INFO - Exporting Train and Test File Path
[ 2026-05-17 22:59:27,161 ] 82 root - INFO - Exported train and test file path
[ 2026-05-17 22:59:27,161 ] 21 root - INFO - Data Ingestion completed
[ 2026-05-17 22:59:27,193 ] 28 root - INFO - Initiate Data Validation
[ 2026-05-17 22:59:27,304 ] 36 root - INFO - Required no of cols= 2
[ 2026-05-17 22:59:27,305 ] 37 root - INFO - Dataframe has: 31
[ 2026-05-17 22:59:27,306 ] 89 root - INFO - Train df doesnt contain all columns
[ 2026-05-17 22:59:27,493 ] 30 root - INFO - Data Validation Completed
[ 2026-05-17 22:59:27,493 ] 37 root - INFO - Intitate Data Transformation
[ 2026-05-17 22:59:27,493 ] 55 root - INFO - Entered initiate data transformation of DataTransformation class
[ 2026-05-17 22:59:27,493 ] 57 root - INFO - Starting data_transformation
[ 2026-05-17 22:59:27,541 ] 39 root - INFO - Entered get_data_transformation_object in DataTransformation class
[ 2026-05-17 22:59:27,541 ] 43 root - INFO - Initialised KNN Imputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-17 22:59:27,559 ] 43 root - INFO - Entered save object of Main Utils class
[ 2026-05-17 22:59:27,563 ] 47 root - INFO - Exited the save_object method of main utils class
[ 2026-05-17 22:59:27,564 ] 39 root - INFO - Data Transformation Completed
[ 2026-05-17 22:59:27,564 ] 46 root - INFO - Initiate Model Training
