[ 2026-05-17 23:14:45,405 ] 19 root - INFO - Initiate Data Ingestion
[ 2026-05-17 23:14:53,670 ] 63 root - INFO - Train Test Split Completed on the Dataframe
[ 2026-05-17 23:14:53,671 ] 72 root - INFO - Exporting Train and Test File Path
[ 2026-05-17 23:14:53,752 ] 82 root - INFO - Exported train and test file path
[ 2026-05-17 23:14:53,753 ] 21 root - INFO - Data Ingestion completed
[ 2026-05-17 23:14:53,769 ] 28 root - INFO - Initiate Data Validation
[ 2026-05-17 23:14:53,919 ] 36 root - INFO - Required no of cols= 2
[ 2026-05-17 23:14:53,919 ] 37 root - INFO - Dataframe has: 31
[ 2026-05-17 23:14:53,926 ] 89 root - INFO - Train df doesnt contain all columns
[ 2026-05-17 23:14:54,257 ] 30 root - INFO - Data Validation Completed
[ 2026-05-17 23:14:54,262 ] 37 root - INFO - Intitate Data Transformation
[ 2026-05-17 23:14:54,264 ] 55 root - INFO - Entered initiate data transformation of DataTransformation class
[ 2026-05-17 23:14:54,264 ] 57 root - INFO - Starting data_transformation
[ 2026-05-17 23:14:54,349 ] 39 root - INFO - Entered get_data_transformation_object in DataTransformation class
[ 2026-05-17 23:14:54,349 ] 43 root - INFO - Initialised KNN Imputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-17 23:14:54,375 ] 43 root - INFO - Entered save object of Main Utils class
[ 2026-05-17 23:14:54,381 ] 47 root - INFO - Exited the save_object method of main utils class
[ 2026-05-17 23:14:54,382 ] 39 root - INFO - Data Transformation Completed
